序号      通道号         到达时间         幅度         持续时间(uS)   上升时间(uS)   振铃计数   上升计数   能量(mV*mS)     RMS(mV)      ASL(dB)         撞击数   撞击速率   质心频率 峰值频率   
107	     5	    390.1430607	   34.48	     2619.67	       51.00	   149	     7	       13.39	        7.13	   34.18	    14	      0.27	273419	163330	
108	     1	    390.6465780	   31.43	     5360.67	      131.67	   137	    23	       26.43	        6.13	   33.86	    75	      0.88	211948	  2197	
109	     1	    390.8925517	   37.84	     7371.67	       69.00	   196	     9	       38.59	        6.59	   34.38	    76	      0.88	213781	  2197	
110	     1	    391.1219173	   49.13	    28712.67	      170.00	   445	    22	      139.44	        6.22	   33.73	    77	      0.88	164909	128906	
111	     1	    391.9500923	   33.26	     4137.33	      497.00	    93	    33	       21.01	        6.42	   34.12	    78	      0.88	198133	  2197	
112	     1	    391.9909417	   48.52	     8503.33	       21.67	   286	     4	       50.23	        7.67	   35.43	    79	      0.88	169433	135498	
113	     5	    391.9909737	   32.96	     9114.67	      144.33	   206	    20	       25.96	        4.52	   29.13	    15	      0.27	288319	158935	
114	     1	    392.1891230	   31.74	     8134.33	      344.67	   172	    36	       39.98	        6.31	   33.84	    80	      0.88	187536	  2197	
115	     1	    392.5184640	   31.74	     2700.00	      235.33	   108	    26	       14.73	        7.09	   34.74	    81	      0.88	198154	  2197	
116	     1	    392.8067837	   33.57	    15800.33	      104.67	   181	    14	       71.62	        5.50	   33.13	    82	      0.88	191792	  2197	
117	     2	    392.9108093	   58.90	     3666.00	      358.00	   198	    38	       30.25	       11.76	   38.33	    18	      0.21	187863	 72509	
118	     5	    392.9116190	   46.08	    42744.00	       13.67	   720	     3	       72.23	        3.26	   24.71	    16	      0.27	271142	156738	
119	     5	    393.0182923	   46.39	     9688.33	      251.67	   280	    32	       26.70	        5.06	   28.88	    17	      0.27	283958	158935	
120	     1	    393.2169793	  111.69	    13622.00	       44.33	   502	     7	       86.74	        8.86	   36.08	    83	      0.88	157048	111328	
121	     1	    393.7656333	   30.82	     2720.67	      102.33	    98	    13	       14.73	        6.79	   34.68	    84	      0.88	187375	124511	
122	     1	    393.9268633	   66.53	     7595.33	      251.00	   237	    27	       44.03	        7.86	   35.27	    85	      0.88	175147	 39550	
123	     1	    394.0370497	   33.57	     7998.00	      176.00	   192	    21	       41.50	        6.52	   34.31	    86	      0.88	190761	  2197	
124	     5	    394.2923973	  108.34	    15312.67	      323.00	   549	    57	       57.01	        8.43	   29.54	    18	      0.27	283135	161132	
125	     1	    394.8883077	   32.65	    14189.33	      224.00	   181	    21	       69.08	        5.71	   33.75	    87	      0.88	195415	  2197	
126	     1	    395.2002463	   34.48	     5423.00	      227.00	   170	    24	       30.69	        6.86	   35.06	    88	      0.88	197545	  2197	
127	     1	    395.9112603	   35.10	    13106.00	      196.33	   191	    26	       58.73	        5.62	   33.03	    89	      0.88	191998	  2197	
128	     1	    396.3823330	   41.81	     7244.67	        2.33	   223	     1	       43.21	        7.03	   35.51	    90	      0.88	243319	  1464	
129	     1	    396.6811040	   44.25	    14214.00	       32.00	   329	     4	       68.88	        6.24	   33.71	    91	      0.88	165658	 51269	
130	     1	    396.8290223	   31.13	     2326.67	      230.67	    92	    23	       12.81	        7.03	   34.82	    92	      0.88	199917	  2197	
131	     2	    398.2859457	   45.17	     2936.00	      308.00	   145	    31	       19.20	        9.08	   36.31	    19	      0.21	217241	 95214	
132	     1	    398.3556283	   40.59	     4740.33	      134.67	   151	    17	       27.67	        7.66	   35.33	    93	      0.88	175687	  2197	
133	     2	    398.5056707	   56.76	     9682.67	      107.67	   286	    16	       39.74	        6.33	   32.28	    20	      0.21	231964	 78369	
134	     1	    398.5065470	   58.59	     8011.00	      127.67	   403	    18	       57.63	        9.85	   37.14	    94	      0.88	176468	  2197	
135	     1	    399.6642440	   55.85	    14117.00	      432.00	   536	    25	       91.32	        8.68	   36.22	    95	      0.88	183893	117919	
136	     5	    399.8533903	   39.06	    16437.67	      113.00	   320	    19	       33.06	        3.53	   26.17	    19	      0.27	334116	163330	
137	     1	    399.8744717	   58.59	    24509.33	      266.33	   559	    29	      127.25	        6.90	   34.31	    96	      0.88	202882	117187	
138	     2	    399.9665027	   35.10	     3562.33	      449.33	   161	    17	       21.41	        8.39	   35.58	    21	      0.21	213435	 76171	
139	     1	    399.9683863	   36.93	    10569.67	       51.00	   235	     7	       53.89	        6.19	   34.15	    97	      0.88	184133	  2197	
140	     5	    400.0066073	   30.21	     2825.00	       56.33	   102	    11	        8.66	        4.48	   29.77	    20	      0.27	375764	161865	
141	     1	    400.1761103	   41.20	    44714.33	       48.33	   737	     7	      210.01	        5.73	   33.44	    98	      0.88	199615	  2197	
142	     1	    400.6900093	   94.91	    13714.67	       17.67	   553	     3	       96.31	       10.39	   36.93	    99	      0.88	157163	120849	
143	     1	    400.9703500	   31.43	    12601.00	       25.33	   300	     4	       59.00	        5.84	   33.41	   100	      0.88	192783	  2197	
144	     2	    401.1534863	   33.26	     2569.33	      116.00	    95	    14	       12.90	        6.57	   34.02	    22	      0.21	245165	  8056	
145	     5	    401.1534903	   33.26	     2459.00	      163.00	   196	    26	       15.71	        8.88	   36.11	    21	      0.27	298598	156005	
146	     5	    401.2467960	   45.17	     2871.67	        1.00	   149	     1	       14.00	        7.08	   33.77	    22	      0.27	302844	156005	
147	     5	    401.5062327	   34.18	     3658.67	      353.00	   165	    50	       17.86	        7.11	   33.78	    23	      0.27	263933	158935	
148	     5	    401.5213267	   31.13	     1683.00	       69.00	    64	    14	        6.75	        5.49	   32.08	    24	      0.27	348720	161132	
